food_name,carbs,protein,sugar
"beef, chuck, under blade steak, boneless, separable lean and fat, trimmed to 0"" fat, select, cooked, braised",0.0,29.18,0.0
"beef, chuck, under blade steak, boneless, separable lean only, trimmed to 0"" fat, all grades, cooked, braised",0.0,31.35,0.0
"beef, chuck, under blade steak, boneless, separable lean only, trimmed to 0"" fat, choice, cooked, braised",0.0,30.91,0.0
"beef, chuck, under blade steak, boneless, separable lean only, trimmed to 0"" fat, select, cooked, braised",0.0,32.01,0.0
"beef, composite of trimmed retail cuts, separable lean and fat, trimmed to 0"" fat, all grades, cooked",0.0,28.4,0.0
"beef, composite of trimmed retail cuts, separable lean and fat, trimmed to 0"" fat, all grades, raw",0.0,20.95,0.0
"beef, composite of trimmed retail cuts, separable lean and fat, trimmed to 0"" fat, choice, cooked",0.0,28.17,0.0
"beef, composite of trimmed retail cuts, separable lean and fat, trimmed to 0"" fat, choice, raw",0.0,21.34,0.0
"beef, composite of trimmed retail cuts, separable lean and fat, trimmed to 0"" fat, select, cooked",0.0,28.61,0.0
"beef, composite of trimmed retail cuts, separable lean and fat, trimmed to 0"" fat, select, raw",0.0,21.2,0.0
"beef, composite of trimmed retail cuts, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked",0.0,26.11,0.0
"beef, composite of trimmed retail cuts, separable lean and fat, trimmed to 1/8"" fat, all grades, raw",0.0,20.01,0.0
"beef, composite of trimmed retail cuts, separable lean and fat, trimmed to 1/8"" fat, choice, cooked",0.0,25.85,0.0
"beef, composite of trimmed retail cuts, separable lean and fat, trimmed to 1/8"" fat, choice, raw",0.0,19.79,0.0
"beef, composite of trimmed retail cuts, separable lean and fat, trimmed to 1/8"" fat, select, cooked",0.0,26.06,0.0
"beef, composite of trimmed retail cuts, separable lean and fat, trimmed to 1/8"" fat, select, raw",0.0,19.06,0.0
"beef, composite of trimmed retail cuts, separable lean only, trimmed to 0"" fat, all grades, cooked",0.0,29.9,0.0
"beef, composite of trimmed retail cuts, separable lean only, trimmed to 0"" fat, all grades, raw",0.0,22.15,0.0
"beef, composite of trimmed retail cuts, separable lean only, trimmed to 0"" fat, choice, cooked",0.0,29.51,0.0
"beef, composite of trimmed retail cuts, separable lean only, trimmed to 0"" fat, choice, raw",0.0,21.55,0.0
"beef, composite of trimmed retail cuts, separable lean only, trimmed to 0"" fat, select, cooked",0.0,29.88,0.0
"beef, composite of trimmed retail cuts, separable lean only, trimmed to 0"" fat, select, raw",0.0,22.03,0.0
"beef, composite of trimmed retail cuts, separable lean only, trimmed to 1/8"" fat, all grades, cooked",0.0,28.95,0.0
"beef, composite of trimmed retail cuts, separable lean only, trimmed to 1/8"" fat, all grades, raw",0.0,22.15,0.0
"beef, composite of trimmed retail cuts, separable lean only, trimmed to 1/8"" fat, choice, raw",0.0,22.01,0.0
"beef, composite of trimmed retail cuts, separable lean only, trimmed to 1/8"" fat, select, cooked",0.0,27.51,0.0
"beef, composite of trimmed retail cuts, separable lean only, trimmed to 1/8"" fat, select, raw",0.0,22.37,0.0
"beef, corned beef hash, with potato, canned",9.27,8.73,0.34
"beef, cured, breakfast strips, cooked",1.4,31.3,0.0
"beef, cured, breakfast strips, raw or unheated",0.7,12.5,0.0
"beef, cured, corned beef, brisket, cooked",0.47,18.17,0.0
"beef, cured, corned beef, brisket, raw",0.14,14.68,0.0
"beef, cured, corned beef, canned",0.0,27.1,0.0
"beef, cured, dried",2.76,31.1,2.7
"beef, cured, luncheon meat, jellied",0.0,19.0,0.0
"beef, cured, pastrami",0.36,21.8,0.1
"beef, flank, steak, separable lean and fat, trimmed to 0"" fat, all grades, cooked, broiled",0.0,27.66,0.0
"beef, flank, steak, separable lean and fat, trimmed to 0"" fat, all grades, raw",0.0,21.22,0.0
"beef, flank, steak, separable lean and fat, trimmed to 0"" fat, choice, cooked, braised",0.0,26.98,0.0
"beef, flank, steak, separable lean and fat, trimmed to 0"" fat, choice, cooked, broiled",0.0,27.55,0.0
"beef, flank, steak, separable lean and fat, trimmed to 0"" fat, choice, raw",0.0,21.22,0.0
"beef, flank, steak, separable lean and fat, trimmed to 0"" fat, select, cooked, broiled",0.0,27.78,0.0
"beef, flank, steak, separable lean and fat, trimmed to 0"" fat, select, raw",0.0,21.22,0.0
"beef, flank, steak, separable lean only, trimmed to 0"" fat, all grades, cooked, broiled",0.0,27.89,0.0
"beef, flank, steak, separable lean only, trimmed to 0"" fat, all grades, raw",0.0,21.57,0.0
"beef, flank, steak, separable lean only, trimmed to 0"" fat, choice, cooked, braised",0.0,28.02,0.0
"beef, flank, steak, separable lean only, trimmed to 0"" fat, choice, cooked, broiled",0.0,27.82,0.0
"beef, flank, steak, separable lean only, trimmed to 0"" fat, choice, raw",0.0,21.72,0.0
"beef, flank, steak, separable lean only, trimmed to 0"" fat, select, cooked, broiled",0.0,27.96,0.0
"beef, flank, steak, separable lean only, trimmed to 0"" fat, select, raw",0.0,21.43,0.0
"beef, grass-fed, ground, raw",0.0,19.42,0.0
"beef, grass-fed, strip steaks, lean only, raw",0.0,23.07,0.0
"beef, ground, 70% lean meat / 30% fat, crumbles, cooked, pan-browned",0.0,25.56,0.0
"beef, ground, 70% lean meat / 30% fat, loaf, cooked, baked",0.0,23.87,0.0
"beef, ground, 70% lean meat / 30% fat, patty cooked, pan-broiled",0.0,22.86,0.0
"beef, ground, 70% lean meat / 30% fat, patty, cooked, broiled",0.0,25.38,0.0
"beef, ground, 70% lean meat / 30% fat, raw",0.0,14.35,0.0
"beef, ground, 75% lean meat / 25% fat, crumbles, cooked, pan-browned",0.0,26.28,0.0
"beef, ground, 75% lean meat / 25% fat, loaf, cooked, baked",0.0,24.56,0.0
"beef, ground, 75% lean meat / 25% fat, patty, cooked, broiled",0.0,25.56,0.0
"beef, ground, 75% lean meat / 25% fat, patty, cooked, pan-broiled",0.0,23.45,0.0
"beef, ground, 75% lean meat / 25% fat, raw",0.0,15.76,0.0
"beef, ground, 80% lean meat / 20% fat, crumbles, cooked, pan-browned",0.0,27.0,0.0
"beef, ground, 80% lean meat / 20% fat, loaf, cooked, baked",0.0,25.25,0.0
"beef, ground, 80% lean meat / 20% fat, patty, cooked, broiled",0.0,25.75,0.0
"beef, ground, 80% lean meat / 20% fat, patty, cooked, pan-broiled",0.0,24.04,0.0
"beef, ground, 80% lean meat / 20% fat, raw",0.0,17.17,0.0
"beef, ground, 85% lean meat / 15% fat, crumbles, cooked, pan-browned",0.0,27.73,0.0
"beef, ground, 85% lean meat / 15% fat, loaf, cooked, baked",0.0,25.93,0.0
"beef, ground, 85% lean meat / 15% fat, patty, cooked, broiled",0.0,25.93,0.0
"beef, ground, 85% lean meat / 15% fat, patty, cooked, pan-broiled",0.0,24.62,0.0
"beef, ground, 85% lean meat / 15% fat, raw (includes foods for usda's food distribution program)",0.0,18.59,0.0
"beef, ground, 90% lean meat / 10% fat, crumbles, cooked, pan-browned",0.0,28.45,0.0
"beef, ground, 90% lean meat / 10% fat, loaf, cooked, baked",0.0,26.62,0.0
"beef, ground, 90% lean meat / 10% fat, patty, cooked, broiled",0.0,26.11,0.0
"beef, ground, 90% lean meat / 10% fat, patty, cooked, pan-broiled",0.0,25.21,0.0
"beef, ground, 90% lean meat / 10% fat, raw",0.0,20.0,0.0
"beef, ground, 93% lean meat / 7% fat, crumbles, cooked, pan-browned",0.0,28.88,0.0
"beef, ground, 93% lean meat / 7% fat, loaf, cooked, baked",0.0,27.03,0.0
"beef, ground, 93% lean meat / 7% fat, patty, cooked, broiled",0.0,26.22,0.0
"beef, ground, 93% lean meat / 7% fat, raw",0.0,20.85,0.0
"beef, ground, 93% lean meat /7% fat, patty, cooked, pan-broiled",0.06,25.56,0.0
"beef, ground, 95% lean meat / 5% fat, crumbles, cooked, pan-browned",0.0,29.17,0.0
"beef, ground, 95% lean meat / 5% fat, loaf, cooked, baked",0.0,27.31,0.0
"beef, ground, 95% lean meat / 5% fat, patty, cooked, broiled",0.0,26.29,0.0
"beef, ground, 95% lean meat / 5% fat, patty, cooked, pan-broiled",0.0,25.8,0.0
"beef, ground, 95% lean meat / 5% fat, raw",0.0,21.41,0.0
"beef, ground, 97% lean meat / 3% fat, crumbles, cooked, pan-browned",0.0,29.46,0.0
"beef, ground, 97% lean meat / 3% fat, loaf, cooked, baked",0.0,27.58,0.0
"beef, ground, 97% lean meat / 3% fat, patty, cooked, broiled",0.0,26.36,0.0
"beef, ground, 97% lean meat / 3% fat, raw",0.0,21.98,0.0
"beef, ground, 97% lean meat /3% fat, patty, cooked, pan-broiled",0.0,26.03,0.0
"beef, ground, patties, frozen, cooked, broiled",0.0,23.05,0.0
"beef, ground, unspecified fat content, cooked",0.62,25.07,0.0
"beef, loin, bottom sirloin butt, tri-tip roast, separable lean only, trimmed to 0"" fat, all grades, cooked, roasted",0.0,26.75,0.0
"beef, loin, bottom sirloin butt, tri-tip steak, separable lean and fat, trimmed to 0"" fat, all grades, cooked, broiled",0.0,29.97,0.0
"beef, loin, tenderloin roast, boneless, separable lean and fat, trimmed to 0"" fat, all grades, cooked, roasted",0.0,27.31,0.0
"beef, loin, tenderloin roast, boneless, separable lean and fat, trimmed to 0"" fat, all grades, raw",0.0,21.67,0.0
"beef, loin, tenderloin roast, boneless, separable lean and fat, trimmed to 0"" fat, choice, cooked, roasted",0.0,27.26,0.0
"beef, loin, tenderloin roast, boneless, separable lean and fat, trimmed to 0"" fat, choice, raw",0.0,21.5,0.0
"beef, loin, tenderloin roast, boneless, separable lean and fat, trimmed to 0"" fat, select, cooked, roasted",0.0,27.38,0.0
"beef, loin, tenderloin roast, boneless, separable lean and fat, trimmed to 0"" fat, select, raw",0.0,21.91,0.0
"beef, loin, tenderloin roast, boneless, separable lean only, trimmed to 0"" fat, all grades, cooked, roasted",0.0,27.51,0.0
"beef, loin, tenderloin roast, boneless, separable lean only, trimmed to 0"" fat, all grades, raw",0.0,21.94,0.0
"beef, loin, tenderloin roast, boneless, separable lean only, trimmed to 0"" fat, choice, cooked, roasted",0.0,27.48,0.0
"beef, loin, tenderloin roast, boneless, separable lean only, trimmed to 0"" fat, choice, raw",0.0,21.78,0.0
"beef, loin, tenderloin roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",0.0,22.16,0.0
"beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",0.0,27.55,0.0
"beef, loin, tenderloin steak, boneless, separable lean and fat, trimmed to 0"" fat, all grades, cooked, grilled",0.0,30.5,0.0
"beef, loin, tenderloin steak, boneless, separable lean and fat, trimmed to 0"" fat, all grades, raw",0.0,21.72,0.0
"beef, loin, tenderloin steak, boneless, separable lean and fat, trimmed to 0"" fat, choice, cooked, grilled",0.0,30.21,0.0
"beef, loin, tenderloin steak, boneless, separable lean and fat, trimmed to 0"" fat, choice, raw",0.0,21.57,0.0
"beef, loin, tenderloin steak, boneless, separable lean and fat, trimmed to 0"" fat, select, cooked, grilled",0.0,30.93,0.0
"beef, loin, tenderloin steak, boneless, separable lean and fat, trimmed to 0"" fat, select, raw",0.0,21.95,0.0
"beef, loin, tenderloin steak, boneless, separable lean only, trimmed to 0"" fat, all grades, cooked, grilled",0.0,30.7,0.0
"beef, loin, tenderloin steak, boneless, separable lean only, trimmed to 0"" fat, all grades, raw",0.0,21.94,0.0
"beef, loin, tenderloin steak, boneless, separable lean only, trimmed to 0"" fat, choice, cooked, grilled",0.0,30.45,0.0
"beef, loin, tenderloin steak, boneless, separable lean only, trimmed to 0"" fat, choice, raw",0.0,21.78,0.0
"beef, loin, tenderloin steak, boneless, separable lean only, trimmed to 0"" fat, select, cooked, grilled",0.0,31.09,0.0
"beef, loin, tenderloin steak, boneless, separable lean only, trimmed to 0"" fat, select, raw",0.0,22.16,0.0
"beef, loin, top loin steak, boneless, lip off, separable lean and fat, trimmed to 0"" fat, all grades, cooked, grilled",0.0,28.57,0.0
"beef, loin, top loin steak, boneless, lip off, separable lean and fat, trimmed to 0"" fat, all grades, raw",0.0,22.43,0.0
"beef, loin, top loin steak, boneless, lip off, separable lean and fat, trimmed to 0"" fat, choice, cooked, grilled",0.0,28.19,0.0
"beef, loin, top loin steak, boneless, lip off, separable lean and fat, trimmed to 0"" fat, choice, raw",0.0,22.19,0.0
"beef, loin, top loin steak, boneless, lip off, separable lean and fat, trimmed to 0"" fat, select, cooked, grilled",0.0,29.16,0.0
"beef, loin, top loin steak, boneless, lip off, separable lean and fat, trimmed to 0"" fat, select, raw",0.0,22.79,0.0
"beef, loin, top loin steak, boneless, lip off, separable lean only, trimmed to 0"" fat, all grades, cooked, grilled",0.0,29.53,0.0
"beef, loin, top loin steak, boneless, lip off, separable lean only, trimmed to 0"" fat, all grades, raw",0.0,23.07,0.0
"beef, loin, top loin steak, boneless, lip off, separable lean only, trimmed to 0"" fat, choice, cooked, grilled",0.0,29.22,0.0
"beef, loin, top loin steak, boneless, lip off, separable lean only, trimmed to 0"" fat, choice, raw",0.0,22.93,0.0
"beef, loin, top loin steak, boneless, lip off, separable lean only, trimmed to 0"" fat, select, cooked, grilled",0.0,29.99,0.0
"beef, loin, top loin steak, boneless, lip off, separable lean only, trimmed to 0"" fat, select, raw",0.0,23.3,0.0
"beef, loin, top loin steak, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, grilled",0.0,26.18,0.0
"beef, loin, top loin steak, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, all grades, raw",0.0,21.29,0.0
"beef, loin, top loin steak, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, grilled",0.0,25.69,0.0
"beef, loin, top loin steak, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, choice, raw",0.0,21.13,0.0
"beef, loin, top loin steak, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, select, cooked, grilled",0.0,26.92,0.0
"beef, loin, top loin steak, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, select, raw",0.0,21.54,0.0
"beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, all grades, cooked, grilled",0.0,29.06,0.0
"beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, all grades, raw",0.0,23.07,0.0
"beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",0.0,28.66,0.0
"beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw",0.0,22.93,0.0
"beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, select, cooked, grilled",0.0,29.67,0.0
"beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, select, raw",0.0,23.3,0.0
"beef, loin, top loin, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, grilled",0.0,26.44,0.0
"beef, loin, top loin, separable lean and fat, trimmed to 1/8"" fat, choice, raw",0.0,19.32,0.0
"beef, loin, top loin, separable lean and fat, trimmed to 1/8"" fat, select, cooked, grilled",0.0,26.72,0.0
"beef, loin, top loin, separable lean and fat, trimmed to 1/8"" fat, select, raw",0.0,20.59,0.0
"beef, loin, top sirloin cap steak, boneless, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, grilled",0.8,26.0,0.0
"beef, loin, top sirloin cap steak, boneless, separable lean and fat, trimmed to 1/8"" fat, all grades, raw",0.0,19.9,0.0
"beef, loin, top sirloin cap steak, boneless, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, grilled",1.1,26.3,0.0
"beef, loin, top sirloin cap steak, boneless, separable lean and fat, trimmed to 1/8"" fat, choice, raw",0.0,19.7,0.0
"beef, loin, top sirloin cap steak, boneless, separable lean and fat, trimmed to 1/8"" fat, select, cooked, grilled",0.4,25.5,0.0
"beef, loin, top sirloin cap steak, boneless, separable lean and fat, trimmed to 1/8"" fat, select, raw",0.0,20.1,0.0
"beef, loin, top sirloin cap steak, boneless, separable lean only, trimmed to 1/8"" fat, all grades, cooked, grilled",0.73,28.26,0.0
"beef, loin, top sirloin cap steak, boneless, separable lean only, trimmed to 1/8"" fat, all grades, raw",0.0,21.38,0.0
"beef, loin, top sirloin cap steak, boneless, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",1.07,28.19,0.0
"beef, loin, top sirloin cap steak, boneless, separable lean only, trimmed to 1/8"" fat, choice, raw",0.0,21.34,0.0
"beef, loin, top sirloin cap steak, boneless, separable lean only, trimmed to 1/8"" fat, select, cooked, grilled",0.22,28.36,0.0
"beef, loin, top sirloin cap steak, boneless, separable lean only, trimmed to 1/8"" fat, select, raw",0.0,21.44,0.0
"beef, loin, top sirloin filet, boneless, separable lean only, trimmed to 0"" fat, all grades, cooked, grilled",0.0,30.58,0.0
"beef, loin, top sirloin filet, boneless, separable lean only, trimmed to 0"" fat, choice, cooked, grilled",0.0,30.45,0.0
"beef, loin, top sirloin filet, boneless, separable lean only, trimmed to 0"" fat, select, cooked, grilled",0.0,30.78,0.0
"beef, loin, top sirloin petite roast, boneless, separable lean only, trimmed to 0"" fat, all grades, cooked, roasted",0.0,29.12,0.0
"beef, loin, top sirloin petite roast, boneless, separable lean only, trimmed to 0"" fat, choice, cooked, roasted",0.0,28.97,0.0
"beef, loin, top sirloin petite roast, boneless, separable lean only, trimmed to 0"" fat, select, cooked, roasted",0.0,29.35,0.0
"beef, loin, top sirloin petite roast/filet, boneless, separable lean only, trimmed to 0"" fat, all grades, raw",0.0,23.04,0.0
"beef, loin, top sirloin petite roast/filet, boneless, separable lean only, trimmed to 0"" fat, choice, raw",0.0,23.03,0.0
"beef, loin, top sirloin petite roast/filet, boneless, separable lean only, trimmed to 0"" fat, select, raw",0.0,23.05,0.0
"beef, plate steak, boneless, inside skirt, separable lean and fat, trimmed to 0"" fat, all grades, cooked, grilled",0.0,29.36,0.0
"beef, plate steak, boneless, inside skirt, separable lean and fat, trimmed to 0"" fat, all grades, raw",0.0,20.38,0.0
"beef, plate steak, boneless, inside skirt, separable lean and fat, trimmed to 0"" fat, choice, cooked, grilled",0.0,28.9,0.0
"beef, plate steak, boneless, inside skirt, separable lean and fat, trimmed to 0"" fat, choice, raw",0.0,20.06,0.0
"beef, plate steak, boneless, inside skirt, separable lean and fat, trimmed to 0"" fat, select, cooked, grilled",0.0,30.06,0.0
"beef, plate steak, boneless, inside skirt, separable lean and fat, trimmed to 0"" fat, select, raw",0.0,20.87,0.0
"beef, plate steak, boneless, inside skirt, separable lean only, trimmed to 0"" fat, all grades, cooked, grilled",0.0,29.99,0.0
"beef, plate steak, boneless, inside skirt, separable lean only, trimmed to 0"" fat, all grades, raw",0.0,21.17,0.0
"beef, plate steak, boneless, inside skirt, separable lean only, trimmed to 0"" fat, choice, cooked, grilled",0.0,29.56,0.0
"beef, plate steak, boneless, inside skirt, separable lean only, trimmed to 0"" fat, choice, raw",0.0,20.89,0.0
"beef, plate steak, boneless, inside skirt, separable lean only, trimmed to 0"" fat, select, cooked, grilled",0.0,30.64,0.0
"beef, plate steak, boneless, inside skirt, separable lean only, trimmed to 0"" fat, select, raw",0.0,21.61,0.0
"beef, plate steak, boneless, outside skirt, separable lean and fat, trimmed to 0"" fat, all grades, cooked, grilled",0.0,27.06,0.0
"beef, plate steak, boneless, outside skirt, separable lean and fat, trimmed to 0"" fat, all grades, raw",0.35,17.98,0.0
"beef, plate steak, boneless, outside skirt, separable lean and fat, trimmed to 0"" fat, choice, cooked, grilled",0.0,26.46,0.0
"beef, plate steak, boneless, outside skirt, separable lean and fat, trimmed to 0"" fat, choice, raw",0.35,17.69,0.0
"beef, plate steak, boneless, outside skirt, separable lean and fat, trimmed to 0"" fat, select, cooked, grilled",0.0,27.95,0.0
"beef, plate steak, boneless, outside skirt, separable lean and fat, trimmed to 0"" fat, select, raw",0.36,18.43,0.0
"beef, plate steak, boneless, outside skirt, separable lean only, trimmed to 0"" fat, all grades, cooked, grilled",0.0,27.68,0.0
"beef, plate steak, boneless, outside skirt, separable lean only, trimmed to 0"" fat, all grades, raw",0.19,18.74,0.0
"beef, plate steak, boneless, outside skirt, separable lean only, trimmed to 0"" fat, choice, cooked, grilled",0.0,27.03,0.0
"beef, plate steak, boneless, outside skirt, separable lean only, trimmed to 0"" fat, choice, raw",0.17,18.47,0.0
"beef, plate steak, boneless, outside skirt, separable lean only, trimmed to 0"" fat, select, cooked, grilled",0.0,28.65,0.0
"beef, plate steak, boneless, outside skirt, separable lean only, trimmed to 0"" fat, select, raw",0.23,19.14,0.0
"beef, plate, inside skirt steak, separable lean and fat, trimmed to 0"" fat, all grades, cooked, broiled",0.0,26.13,0.0
"beef, plate, inside skirt steak, separable lean only, trimmed to 0"" fat, all grades, cooked, broiled",0.0,26.66,0.0
"beef, plate, outside skirt steak, separable lean and fat, trimmed to 0"" fat, all grades, cooked, broiled",0.0,23.51,0.0
"beef, plate, outside skirt steak, separable lean only, trimmed to 0"" fat, all grades, cooked, broiled",0.0,24.18,0.0
"beef, retail cuts, separable fat, cooked",0.0,10.65,0.0
"beef, retail cuts, separable fat, raw",0.0,8.21,0.0
"beef, rib eye roast, bone-in, lip-on, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, roasted",0.0,23.47,0.0
"beef, rib eye roast, bone-in, lip-on, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted",0.0,23.53,0.0
"beef, rib eye roast, bone-in, lip-on, separable lean and fat, trimmed to 1/8"" fat, select, cooked, roasted",0.0,23.36,0.0
"beef, rib eye roast, bone-in, lip-on, separable lean only, trimmed to 1/8"" fat, all grades, cooked, roasted",0.0,27.12,0.0
"beef, rib eye roast, bone-in, lip-on, separable lean only, trimmed to 1/8"" fat, choice, cooked, roasted",0.0,27.18,0.0
"beef, rib eye roast, bone-in, lip-on, separable lean only, trimmed to 1/8"" fat, select, cooked, roasted",0.0,27.03,0.0
"beef, rib eye roast, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, roasted",0.0,24.3,0.0
"beef, rib eye roast, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted",0.0,23.92,0.0
"beef, rib eye roast, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, select, cooked, roasted",0.0,24.85,0.0
"beef, rib eye roast, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, all grades, cooked, roasted",0.0,28.21,0.0
"beef, rib eye roast, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, cooked, roasted",0.0,27.87,0.0
"beef, rib eye roast, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, select, cooked, roasted",0.0,28.72,0.0
"beef, rib eye steak, bone-in, lip-on, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, grilled",0.0,22.9,0.0
"beef, rib eye steak, bone-in, lip-on, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, grilled",0.0,22.71,0.0
"beef, rib eye steak, bone-in, lip-on, separable lean and fat, trimmed to 1/8"" fat, select, cooked, grilled",0.0,23.19,0.0
"beef, rib eye steak, bone-in, lip-on, separable lean only, trimmed to 1/8"" fat, all grades, cooked, grilled",0.0,27.4,0.0
"beef, rib eye steak, bone-in, lip-on, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",0.0,27.03,0.0
"beef, rib eye steak, bone-in, lip-on, separable lean only, trimmed to 1/8"" fat, select, cooked, grilled",0.0,27.96,0.0
"beef, rib eye steak, boneless, lip off, separable lean and fat, trimmed to 0"" fat, all grades, cooked, grilled",0.0,24.85,0.0
"beef, rib eye steak, boneless, lip off, separable lean and fat, trimmed to 0"" fat, all grades, raw",0.12,19.26,0.0
"beef, rib eye steak, boneless, lip off, separable lean and fat, trimmed to 0"" fat, choice, cooked, grilled",0.0,23.89,0.0
"beef, rib eye steak, boneless, lip off, separable lean and fat, trimmed to 0"" fat, choice, raw",0.2,18.69,0.0
"beef, rib eye steak, boneless, lip off, separable lean and fat, trimmed to 0"" fat, select, cooked, grilled",0.0,26.29,0.0
"beef, rib eye steak, boneless, lip off, separable lean and fat, trimmed to 0"" fat, select, raw",0.0,20.12,0.0
"beef, rib eye steak, boneless, lip off, separable lean only, trimmed to 0"" fat, all grades, cooked, grilled",0.0,28.11,0.0
"beef, rib eye steak, boneless, lip off, separable lean only, trimmed to 0"" fat, all grades, raw",0.0,21.85,0.0
"beef, rib eye steak, boneless, lip off, separable lean only, trimmed to 0"" fat, choice, cooked, grilled",0.0,27.39,0.0
"beef, rib eye steak, boneless, lip off, separable lean only, trimmed to 0"" fat, choice, raw",0.0,21.44,0.0
"beef, rib eye steak, boneless, lip off, separable lean only, trimmed to 0"" fat, select, cooked, grilled",0.0,29.18,0.0
"beef, rib eye steak, boneless, lip off, separable lean only, trimmed to 0"" fat, select, raw",0.0,22.46,0.0
"beef, rib eye steak, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, grilled",0.0,23.69,0.0
"beef, rib eye steak, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, grilled",0.0,22.92,0.0
"beef, rib eye steak, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, select, cooked, grilled",0.0,24.83,0.0
"beef, rib eye steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, all grades, cooked, grilled",0.0,27.97,0.0
"beef, rib eye steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",0.0,27.3,0.0
"beef, rib eye steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, select, cooked, grilled",0.0,28.98,0.0
"beef, rib eye steak/roast, bone-in, lip-on, separable lean and fat, trimmed to 1/8"" fat, all grades, raw",0.0,18.13,0.0
"beef, rib eye steak/roast, bone-in, lip-on, separable lean and fat, trimmed to 1/8"" fat, choice, raw",0.0,17.92,0.0
"beef, rib eye steak/roast, bone-in, lip-on, separable lean and fat, trimmed to 1/8"" fat, select, raw",0.0,18.44,0.0
"beef, rib eye steak/roast, bone-in, lip-on, separable lean only, trimmed to 1/8"" fat, all grades, raw",0.0,21.22,0.0
"beef, rib eye steak/roast, bone-in, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw",0.0,20.93,0.0
"beef, rib eye steak/roast, bone-in, lip-on, separable lean only, trimmed to 1/8"" fat, select, raw",0.0,21.65,0.0
"beef, rib eye steak/roast, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, all grades, raw",0.0,18.85,0.0
"beef, rib eye steak/roast, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, choice, raw",0.0,18.39,0.0
"beef, rib eye steak/roast, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, select, raw",0.0,19.55,0.0
"beef, rib eye steak/roast, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, all grades, raw",0.0,21.99,0.0
"beef, rib eye steak/roast, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw",0.0,21.62,0.0
"beef, rib eye steak/roast, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, select, raw",0.0,22.55,0.0
"beef, rib eye, small end (ribs 10-12), separable lean and fat, trimmed to 0"" fat, all grades, cooked, broiled",0.0,27.27,0.0
"beef, rib eye, small end (ribs 10-12), separable lean and fat, trimmed to 0"" fat, select, cooked, broiled",0.0,27.95,0.0
"beef, rib eye, small end (ribs 10-12), separable lean only, trimmed to 0"" fat, select, raw",0.0,21.17,0.0
"beef, rib, back ribs, bone-in, separable lean and fat, trimmed to 0"" fat, all grades, cooked, braised",0.0,24.23,0.0
"beef, rib, back ribs, bone-in, separable lean and fat, trimmed to 0"" fat, all grades, raw",0.78,16.15,0.0
"beef, rib, back ribs, bone-in, separable lean and fat, trimmed to 0"" fat, choice, cooked, braised",0.0,23.34,0.0
